node,score,trend,rul_component,rul_days,rul_p10,rul_p90
CS.solids.degasser,63,declining,gasket,50,32,75
CS.solids.desander,94,improving,packing,135,87,202
CS.solids.desilter,79,improving,coupling,276,179,414
CS.solids.centrifuge,88,improving,impeller,305,198,457
CS.standpipe,89,improving,gasket,183,118,274
CS.standpipe.pipe,95,improving,bearing,137,89,205
CS.standpipe.manifold,92,stable,filter element,245,159,367
CS.standpipe.hose,87,stable,refractory,103,66,154
CS.standpipe.gooseneck,86,stable,seal,227,147,340
CS.return,88,improving,coupling,132,85,198
CS.return.bell,64,declining,impeller,35,22,52
CS.return.flowline,95,improving,bearing,141,91,211
CS.return.possum,86,improving,bearing,262,170,393
CS.mgs,68,declining,brake pads,50,32,75
CS.mgs.vessel,88,improving,refractory,233,151,349
CS.mgs.vent,91,stable,packing,321,208,481
CS.mgs.seal,94,stable,packing,366,237,549
WC.bop,77,improving,packing,141,91,211
WC.bop.annular,85,improving,bearing,97,63,145
WC.bop.pipe1,61,declining,catalyst,38,24,57
WC.bop.shear,85,stable,brake pads,217,141,325
WC.bop.pipe2,91,improving,packing,214,139,321
WC.bop.spool,63,declining,bearing,47,30,70
WC.bop.hcr,99,improving,catalyst,382,248,573
WC.acc,64,declining,seal,40,26,60
WC.acc.bottles,94,stable,bearing,270,175,405
WC.acc.pumps,89,improving,seal,286,185,429
WC.acc.manifold,99,stable,gasket,376,244,564
WC.acc.remote,86,improving,packing,366,237,549
WC.choke,85,stable,brake pads,119,77,178
WC.choke.hydraulic,86,stable,filter element,113,73,169
WC.choke.manual,83,stable,filter element,244,158,366
WC.choke.valves,68,declining,brake pads,40,26,60
WC.choke.panel,92,stable,bearing,392,254,588
WC.lines,85,stable,impeller,134,87,201
WC.lines.choke,85,improving,bearing,132,85,198
WC.lines.kill,92,improving,bearing,154,100,231
WC.wellhead,84,stable,gasket,378,245,567
WC.wellhead.head,91,stable,bearing,275,178,412
WC.wellhead.conductor,81,stable,brake pads,123,79,184
WC.wellhead.surface,85,improving,bearing,386,250,579
WC.wellhead.intermediate,83,improving,seal,94,61,141
WC.wellhead.cement,86,stable,catalyst,146,94,219
WC.wellhead.openhole,87,improving,seal,315,204,472
PS.gen,94,improving,gasket,260,169,390
PS.gen.g1,95,improving,bearing,127,82,190
PS.gen.g2,86,stable,bearing,287,186,430
PS.gen.g3,86,stable,refractory,319,207,478
PS.gen.exhaust,96,improving,impeller,217,141,325
PS.gen.radiators,92,improving,coupling,267,173,400
PS.vfd,93,improving,gasket,387,251,580
PS.vfd.drives,83,improving,brake pads,370,240,555
PS.vfd.switchgear,79,stable,packing,311,202,466
PS.vfd.resistors,52,declining,impeller,21,13,31
PS.vfd.plc,90,improving,seal,275,178,412
PS.fuel,90,improving,coupling,132,85,198
PS.fuel.bulk,83,improving,brake pads,395,256,592
PS.fuel.day,85,stable,impeller,108,70,162
PS.fuel.transfer,81,improving,catalyst,199,129,298
PS.cables,82,stable,impeller,105,68,157
PS.cables.tray,74,declining,filter element,45,29,67
PS.cables.mcc,74,declining,catalyst,21,13,31
PS.cables.lighting,88,improving,filter element,365,237,547
PS.air,82,improving,packing,383,248,574
PS.air.compressor,79,stable,catalyst,346,224,519
PS.air.receiver,86,stable,catalyst,349,226,523
PS.air.dryer,73,declining,refractory,36,23,54
DS.pipe,86,improving,filter element,272,176,408
DS.pipe.string,96,stable,catalyst,101,65,151
DS.pipe.setback,56,declining,filter element,54,35,81
DS.pipe.saver,99,improving,gasket,330,214,495
DS.hwdp,86,stable,refractory,203,131,304
DS.hwdp.joints,88,stable,gasket,357,232,535
DS.bha,81,improving,impeller,184,119,276
DS.bha.collars,90,stable,bearing,389,252,583
DS.bha.stab,89,improving,impeller,361,234,541
DS.bha.motor,93,improving,packing,357,232,535
DS.bha.mwd,90,stable,bearing,211,137,316
DS.bha.jar,69,declining,packing,50,32,75
DS.bit,96,improving,filter element,148,96,222
DS.bit.body,82,stable,packing,243,157,364
DS.bit.cutters,83,improving,filter element,279,181,418
DS.bit.nozzles,87,improving,coupling,387,251,580
SS.sub,81,stable,coupling,355,230,532
SS.sub.columns,87,stable,filter element,168,109,252
SS.sub.beams,86,stable,impeller,367,238,550
SS.sub.cellar,86,stable,coupling,240,156,360
SS.sub.stairs,96,improving,filter element,376,244,564
SS.floor,62,declining,catalyst,31,20,46
SS.floor.deck,84,improving,gasket,227,147,340
SS.floor.rails,82,improving,catalyst,233,151,349
SS.floor.vdoor,65,declining,packing,35,22,52
SS.floor.setback,99,stable,brake pads,153,99,229
SS.floor.tongs,89,improving,gasket,242,157,363
SS.cabin,76,stable,gasket,175,113,262
SS.cabin.shell,80,improving,brake pads,222,144,333
SS.cabin.console,94,stable,bearing,275,178,412
SS.cabin.hmi,85,stable,gasket,261,169,391
SS.pipe,89,stable,refractory,203,131,304
SS.pipe.catwalk,87,improving,impeller,108,70,162
SS.pipe.ramp,81,improving,impeller,350,227,525
SS.pipe.racks,89,stable,filter element,337,219,505
SS.pipe.tubulars,99,improving,packing,192,124,288
SS.site,86,stable,filter element,226,146,339
SS.site.pad,92,stable,filter element,134,87,201
SS.site.office,92,stable,filter element,168,109,252
SS.site.workshop,80,improving,seal,262,170,393
SS.site.store,97,stable,catalyst,307,199,460
SS.site.flag,84,stable,seal,156,101,234
SS.site.loader,82,stable,coupling,306,198,459
