node,kind,ref,title,due,status
LQ.t1.coolers,next,PM-4123,Planned maintenance - clean,2026-11-30,scheduled
LQ.t1.flash,last,PM-5976,Planned maintenance - bearing inspection,2026-06-20,done
LQ.t1.flash,next,PM-4012,Planned maintenance - calibration,2026-09-28,scheduled
LQ.t2,last,PM-1487,Planned maintenance - seal inspection,2026-08-21,done
LQ.t2,next,PM-7605,Planned maintenance - inspection,2026-12-14,scheduled
LQ.t2.comp,last,PM-3098,Planned maintenance - brake pads inspection,2026-08-04,done
LQ.t2.comp,next,PM-8113,Planned maintenance - clean,2026-12-08,scheduled
LQ.t2.comp,wo,WO-7015,Inspect DE bearing,2026-10-03,due
LQ.t2.chillers,last,PM-4435,Planned maintenance - packing inspection,2026-09-06,done
LQ.t2.chillers,next,PM-6707,Planned maintenance - lube,2026-12-01,scheduled
LQ.t2.mche,last,PM-3251,Planned maintenance - coupling inspection,2026-08-23,done
LQ.t2.mche,next,PM-3164,Planned maintenance - inspection,2026-09-27,scheduled
LQ.t2.coolers,last,PM-7016,Planned maintenance - impeller inspection,2026-08-05,done
LQ.t2.coolers,next,PM-8650,Planned maintenance - clean,2026-10-20,scheduled
LQ.t2.flash,last,PM-3195,Planned maintenance - seal inspection,2026-06-01,done
LQ.t2.flash,next,PM-5175,Planned maintenance - clean,2026-09-19,due
LQ.t2.flash,wo,WO-9783,Change lube oil,2026-09-18,due
SG.t1,last,PM-5650,Planned maintenance - brake pads inspection,2026-08-10,done
SG.t1,next,PM-3663,Planned maintenance - calibration,2026-12-10,scheduled
SG.t2,last,PM-9441,Planned maintenance - filter element inspection,2026-07-20,done
SG.t2,next,PM-1094,Planned maintenance - calibration,2026-11-30,scheduled
SG.pumps,last,PM-6880,Planned maintenance - coupling inspection,2026-07-28,done
SG.pumps,next,PM-1958,Planned maintenance - clean,2026-10-20,scheduled
SG.bog,last,PM-5466,Planned maintenance - bearing inspection,2026-07-30,done
SG.bog,next,PM-9698,Planned maintenance - inspection,2026-10-03,scheduled
JT.trestle,last,PM-2771,Planned maintenance - refractory inspection,2026-07-18,done
JT.trestle,next,PM-6854,Planned maintenance - inspection,2026-10-07,scheduled
JT.platform,last,PM-1291,Planned maintenance - filter element inspection,2026-06-05,done
JT.platform,next,PM-6479,Planned maintenance - lube,2026-11-01,scheduled
JT.arms,last,PM-5448,Planned maintenance - bearing inspection,2026-06-10,done
JT.arms,next,PM-5455,Planned maintenance - lube,2026-11-15,scheduled
JT.dolphins,last,PM-6326,Planned maintenance - impeller inspection,2026-07-04,done
JT.dolphins,next,PM-8452,Planned maintenance - lube,2026-12-07,scheduled
JT.carrier,last,PM-3198,Planned maintenance - impeller inspection,2026-06-06,done
JT.carrier,next,PM-7940,Planned maintenance - inspection,2026-12-11,scheduled
JT.control,last,PM-8065,Planned maintenance - coupling inspection,2026-06-29,done
JT.control,next,PM-2953,Planned maintenance - lube,2026-11-10,scheduled
BG.comp,last,PM-4568,Planned maintenance - brake pads inspection,2026-07-13,done
BG.comp,next,PM-6983,Planned maintenance - calibration,2026-09-21,due
BG.comp,wo,WO-1426,Inspect DE bearing,2026-10-03,due
BG.recond,last,PM-9285,Planned maintenance - bearing inspection,2026-05-27,done
BG.recond,next,PM-8055,Planned maintenance - lube,2026-12-14,scheduled
BG.fuel,last,PM-7458,Planned maintenance - coupling inspection,2026-08-13,done
BG.fuel,next,PM-4846,Planned maintenance - lube,2026-10-05,scheduled
RF.propane,last,PM-5265,Planned maintenance - gasket inspection,2026-08-16,done
RF.propane,next,PM-2397,Planned maintenance - clean,2026-11-01,scheduled
RF.ethylene,last,PM-1705,Planned maintenance - filter element inspection,2026-07-06,done
RF.ethylene,next,PM-7102,Planned maintenance - lube,2026-11-25,scheduled
RF.n2,last,PM-1044,Planned maintenance - coupling inspection,2026-08-15,done
RF.n2,next,PM-9201,Planned maintenance - inspection,2026-10-25,scheduled
RF.makeup,last,PM-4462,Planned maintenance - catalyst inspection,2026-07-07,done
RF.makeup,next,PM-9001,Planned maintenance - clean,2026-09-24,scheduled
RF.makeup,wo,WO-5948,Thermographic survey,2026-10-05,done
UT.dryflare,last,PM-2057,Planned maintenance - filter element inspection,2026-08-13,done
UT.dryflare,next,PM-7479,Planned maintenance - inspection,2026-10-06,scheduled
UT.wetflare,last,PM-5475,Planned maintenance - impeller inspection,2026-07-11,done
UT.wetflare,next,PM-2246,Planned maintenance - lube,2026-11-02,scheduled
UT.power,last,PM-9095,Planned maintenance - seal inspection,2026-08-09,done
UT.power,next,PM-9596,Planned maintenance - calibration,2026-10-15,scheduled
UT.fire,last,PM-5153,Planned maintenance - refractory inspection,2026-06-12,done
UT.fire,next,PM-4115,Planned maintenance - lube,2026-10-08,scheduled
UT.intake,last,PM-6843,Planned maintenance - seal inspection,2026-06-05,done
UT.intake,next,PM-1150,Planned maintenance - clean,2026-11-20,scheduled
UT.control,last,PM-4316,Planned maintenance - catalyst inspection,2026-08-29,done
UT.control,next,PM-9634,Planned maintenance - inspection,2026-10-11,scheduled
UT.rack,last,PM-5669,Planned maintenance - gasket inspection,2026-08-31,done
UT.rack,next,PM-3575,Planned maintenance - inspection,2026-10-05,scheduled
