node,kind,ref,title,due,status
NG.reboilers,next,PM-6019,Planned maintenance - lube,2026-11-02,scheduled
NG.jt,last,PM-9609,Planned maintenance - brake pads inspection,2026-05-23,done
NG.jt,next,PM-1290,Planned maintenance - calibration,2026-10-14,scheduled
NG.jt,wo,WO-5290,PSV bench test,2026-09-29,done
NG.chiller,last,PM-3259,Planned maintenance - bearing inspection,2026-06-24,done
NG.chiller,next,PM-9122,Planned maintenance - lube,2026-11-18,scheduled
FX.deeth,last,PM-1279,Planned maintenance - seal inspection,2026-06-08,done
FX.deeth,next,PM-4462,Planned maintenance - inspection,2026-12-09,scheduled
FX.deprop,last,PM-5581,Planned maintenance - coupling inspection,2026-08-02,done
FX.deprop,next,PM-7790,Planned maintenance - lube,2026-10-24,scheduled
FX.debut,last,PM-8875,Planned maintenance - filter element inspection,2026-08-29,done
FX.debut,next,PM-1677,Planned maintenance - calibration,2026-11-01,scheduled
FX.reboilers,last,PM-4031,Planned maintenance - packing inspection,2026-05-26,done
FX.reboilers,next,PM-2236,Planned maintenance - lube,2026-10-01,scheduled
FX.condensers,last,PM-8146,Planned maintenance - packing inspection,2026-07-08,done
FX.condensers,next,PM-3298,Planned maintenance - inspection,2026-10-09,scheduled
FX.bullets,last,PM-5159,Planned maintenance - seal inspection,2026-09-04,done
FX.bullets,next,PM-8957,Planned maintenance - inspection,2026-10-12,scheduled
FX.spheres,last,PM-1660,Planned maintenance - gasket inspection,2026-08-08,done
FX.spheres,next,PM-4893,Planned maintenance - lube,2026-09-20,scheduled
FX.loading,last,PM-4918,Planned maintenance - seal inspection,2026-07-08,done
FX.loading,next,PM-6262,Planned maintenance - calibration,2026-11-19,scheduled
RC.k,last,PM-2547,Planned maintenance - refractory inspection,2026-05-31,done
RC.k,next,PM-5643,Planned maintenance - calibration,2026-10-20,scheduled
RC.cooler,last,PM-2872,Planned maintenance - catalyst inspection,2026-06-03,done
RC.cooler,next,PM-5706,Planned maintenance - lube,2026-11-16,scheduled
RC.meter,last,PM-8253,Planned maintenance - filter element inspection,2026-08-30,done
RC.meter,next,PM-9407,Planned maintenance - inspection,2026-10-23,scheduled
RC.esd,last,PM-9692,Planned maintenance - coupling inspection,2026-09-04,done
RC.esd,next,PM-3101,Planned maintenance - inspection,2026-09-23,scheduled
UT.flare,last,PM-4955,Planned maintenance - impeller inspection,2026-08-30,done
UT.flare,next,PM-6985,Planned maintenance - inspection,2026-10-31,scheduled
UT.ko,last,PM-7815,Planned maintenance - bearing inspection,2026-08-30,done
UT.ko,next,PM-3856,Planned maintenance - calibration,2026-09-27,scheduled
UT.hotoil,last,PM-3092,Planned maintenance - filter element inspection,2026-08-31,done
UT.hotoil,next,PM-2687,Planned maintenance - lube,2026-11-16,scheduled
UT.hotoil,wo,WO-8991,Replace drum encoder,2026-09-25,open
UT.air,last,PM-8426,Planned maintenance - gasket inspection,2026-07-28,done
UT.air,next,PM-5452,Planned maintenance - clean,2026-12-12,scheduled
UT.power,last,PM-7436,Planned maintenance - gasket inspection,2026-08-23,done
UT.power,next,PM-5061,Planned maintenance - calibration,2026-10-10,scheduled
UT.fire,last,PM-2579,Planned maintenance - filter element inspection,2026-07-17,done
UT.fire,next,PM-3043,Planned maintenance - inspection,2026-10-15,scheduled
UT.control,last,PM-5180,Planned maintenance - impeller inspection,2026-07-14,done
UT.control,next,PM-3882,Planned maintenance - clean,2026-12-10,scheduled
UT.control,wo,WO-9770,Thermographic survey,2026-10-03,done
UT.rack,last,PM-2002,Planned maintenance - bearing inspection,2026-08-03,done
UT.rack,next,PM-9910,Planned maintenance - lube,2026-10-03,scheduled
