node,kind,ref,title,due,status
SP.lp,last,PM-6623,Planned maintenance - packing inspection,2026-07-08,done
SP.lp,next,PM-4663,Planned maintenance - inspection,2026-12-03,scheduled
SP.test,last,PM-1204,Planned maintenance - catalyst inspection,2026-06-26,done
SP.test,next,PM-8227,Planned maintenance - lube,2026-11-15,scheduled
SP.ht,last,PM-4784,Planned maintenance - seal inspection,2026-07-04,done
SP.ht,next,PM-2617,Planned maintenance - lube,2026-11-29,scheduled
SP.ht.shell,last,PM-3071,Planned maintenance - catalyst inspection,2026-06-08,done
SP.ht.shell,next,PM-8179,Planned maintenance - calibration,2026-11-20,scheduled
SP.ht.burner,last,PM-6501,Planned maintenance - packing inspection,2026-07-18,done
SP.ht.burner,next,PM-9714,Planned maintenance - calibration,2026-10-23,scheduled
SP.ht.burner,wo,WO-3579,Inspect DE bearing,2026-09-17,due
SP.ht.stack,last,PM-1745,Planned maintenance - seal inspection,2026-08-25,done
SP.ht.stack,next,PM-1229,Planned maintenance - inspection,2026-11-03,scheduled
SP.scrub,last,PM-1417,Planned maintenance - brake pads inspection,2026-07-26,done
SP.scrub,next,PM-8741,Planned maintenance - lube,2026-10-15,scheduled
SP.pumps,last,PM-2744,Planned maintenance - brake pads inspection,2026-08-26,done
SP.pumps,next,PM-1823,Planned maintenance - clean,2026-11-08,scheduled
ST.oil,last,PM-8234,Planned maintenance - seal inspection,2026-07-30,done
ST.oil,next,PM-1786,Planned maintenance - calibration,2026-09-20,due
ST.oil,wo,WO-1126,PSV bench test,2026-09-29,done
ST.oil.t1,last,PM-8351,Planned maintenance - catalyst inspection,2026-06-29,done
ST.oil.t1,next,PM-4268,Planned maintenance - lube,2026-10-07,scheduled
ST.oil.t1,wo,WO-7124,Inspect DE bearing,2026-10-05,due
ST.oil.t2,last,PM-1956,Planned maintenance - brake pads inspection,2026-05-30,done
ST.oil.t2,next,PM-6218,Planned maintenance - lube,2026-11-15,scheduled
ST.oil.t3,last,PM-5042,Planned maintenance - refractory inspection,2026-08-27,done
ST.oil.t3,next,PM-8650,Planned maintenance - calibration,2026-10-19,scheduled
ST.oil.t4,last,PM-8922,Planned maintenance - catalyst inspection,2026-06-23,done
ST.oil.t4,next,PM-1312,Planned maintenance - inspection,2026-12-13,scheduled
ST.oil.t4,wo,WO-6064,Replace drum encoder,2026-09-28,open
ST.water,last,PM-1875,Planned maintenance - filter element inspection,2026-08-13,done
ST.water,next,PM-1539,Planned maintenance - clean,2026-10-03,scheduled
ST.lact,last,PM-7608,Planned maintenance - refractory inspection,2026-07-06,done
ST.lact,next,PM-5356,Planned maintenance - calibration,2026-10-30,scheduled
ST.vru,last,PM-2026,Planned maintenance - bearing inspection,2026-07-19,done
ST.vru,next,PM-1301,Planned maintenance - inspection,2026-09-22,due
ST.vru,wo,WO-5776,Calibrate level transmitter,2026-09-30,open
ST.loading,last,PM-5123,Planned maintenance - packing inspection,2026-05-24,done
ST.loading,next,PM-9830,Planned maintenance - lube,2026-11-15,scheduled
ST.loading,wo,WO-4425,Replace drum encoder,2026-09-20,open
ST.bund,last,PM-2779,Planned maintenance - coupling inspection,2026-07-11,done
ST.bund,next,PM-4668,Planned maintenance - clean,2026-12-08,scheduled
ST.bund,wo,WO-1509,Inspect DE bearing,2026-09-25,due
FR.stack,last,PM-1047,Planned maintenance - packing inspection,2026-06-17,done
FR.stack,next,PM-6127,Planned maintenance - calibration,2026-11-06,scheduled
FR.ko,last,PM-6309,Planned maintenance - catalyst inspection,2026-07-21,done
FR.ko,next,PM-7773,Planned maintenance - calibration,2026-09-20,due
FR.ko,wo,WO-4375,Inspect DE bearing,2026-09-29,due
FR.header,last,PM-3194,Planned maintenance - packing inspection,2026-08-14,done
FR.header,next,PM-3842,Planned maintenance - lube,2026-11-27,scheduled
FR.ffg,last,PM-8462,Planned maintenance - seal inspection,2026-08-25,done
FR.ffg,next,PM-9769,Planned maintenance - calibration,2026-12-03,scheduled
FR.ffg,wo,WO-8918,Thermographic survey,2026-09-17,done
UT.gen,last,PM-5697,Planned maintenance - coupling inspection,2026-06-05,done
UT.gen,next,PM-7707,Planned maintenance - calibration,2026-10-06,scheduled
UT.mcc,last,PM-9316,Planned maintenance - filter element inspection,2026-08-12,done
UT.mcc,next,PM-9410,Planned maintenance - calibration,2026-11-27,scheduled
UT.air,last,PM-5347,Planned maintenance - catalyst inspection,2026-07-14,done
UT.air,next,PM-4149,Planned maintenance - clean,2026-10-09,scheduled
UT.chem,last,PM-1689,Planned maintenance - gasket inspection,2026-07-09,done
UT.chem,next,PM-8299,Planned maintenance - calibration,2026-10-21,scheduled
UT.chem,wo,WO-2871,Calibrate level transmitter,2026-09-21,open
UT.site,last,PM-4208,Planned maintenance - refractory inspection,2026-07-17,done
UT.site,next,PM-3449,Planned maintenance - lube,2026-12-08,scheduled
UT.site.pad,last,PM-7251,Planned maintenance - packing inspection,2026-07-16,done
UT.site.pad,next,PM-9826,Planned maintenance - calibration,2026-12-06,scheduled
UT.site.pad,wo,WO-6680,Change lube oil,2026-10-05,due
UT.site.fence,last,PM-4455,Planned maintenance - impeller inspection,2026-08-18,done
UT.site.fence,next,PM-3890,Planned maintenance - lube,2026-11-12,scheduled
UT.site.lights,last,PM-2592,Planned maintenance - coupling inspection,2026-05-21,done
UT.site.lights,next,PM-7536,Planned maintenance - lube,2026-10-16,scheduled
